================== FINAL RH REPORT ==================
Source trace: /home/daweix3/hammulator//prace/60_if_then_else-plus_console-hammulator_trace.ulator_trace.txt
Total Access Count (All Rows): 1344

--------------- PIM OPERATIONS & TIME ---------------
Total AP Operations:          64 | Est. Time: 2944 ns
Total AAP Operations:        384 | Est. Time: 23040 ns
-----------------------------------------------------
Total Est. PIM Execution Time: 25984 ns (0.025984 ms)

--------------- REG_FILE ROWS (200 rows) ---------------
Row  163 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  164 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  165 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  166 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  167 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  168 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  169 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  170 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  171 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  172 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  173 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  174 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  175 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  176 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  177 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  178 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  179 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  180 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  181 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  182 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  183 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  184 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  185 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  186 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  187 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  188 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  189 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  190 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  191 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  192 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  193 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  194 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  195 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  196 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  197 | Accesses:          0 | Bitflips: 0 | Refresh: 0
Row  198 | Accesses:          0 | Bitflips: 14 | Refresh: 0
Row  199 | Accesses:          0 | Bitflips: 44 | Refresh: 0

--------------- SPECIAL ROWS ---------------
C0       | Accesses:          0 | Bitflips: 8 | Refresh: 0
C1       | Accesses:         64 | Bitflips: 578 | Refresh: 0
T0       | Accesses:        192 | Bitflips: 0 | Refresh: 0
T1       | Accesses:        192 | Bitflips: 0 | Refresh: 0
T2       | Accesses:        128 | Bitflips: 0 | Refresh: 0
T3       | Accesses:         64 | Bitflips: 0 | Refresh: 0
B_DCC0   | Accesses:         64 | Bitflips: 499 | Refresh: 0
B_DCC0N  | Accesses:         64 | Bitflips: 366 | Refresh: 0
B_DCC1   | Accesses:         64 | Bitflips: 0 | Refresh: 0
B_DCC1N  | Accesses:         64 | Bitflips: 1 | Refresh: 0
TMR0     | Accesses:          0 | Bitflips: 93 | Refresh: 0
TMR1     | Accesses:          0 | Bitflips: 29 | Refresh: 0
TMR2     | Accesses:          0 | Bitflips: 5 | Refresh: 0
======================================================
